run,temperature,top_p,case_id,expected,prediction,correct,latency,output_tokens
1,0.0,0.5,1,HR,Technical,False,10.547873400035314,823
1,0.0,0.5,2,Finance,Finance,True,10.547873400035314,823
1,0.0,0.5,3,Technical,Technical,True,10.547873400035314,823
1,0.0,0.5,4,HR,Finance,False,10.547873400035314,823
1,0.0,0.5,5,Finance,Technical,False,10.547873400035314,823
1,0.0,0.5,6,Technical,Technical,True,10.547873400035314,823
1,0.0,0.5,7,HR,HR,True,10.547873400035314,823
1,0.0,0.5,8,Finance,Finance,True,10.547873400035314,823
1,0.0,0.5,9,Technical,Technical,True,10.547873400035314,823
1,0.0,0.5,10,HR,HR,True,10.547873400035314,823
2,0.0,0.5,1,HR,HR,True,7.803635000018403,574
2,0.0,0.5,2,Finance,Finance,True,7.803635000018403,574
2,0.0,0.5,3,Technical,Technical,True,7.803635000018403,574
2,0.0,0.5,4,HR,Finance,False,7.803635000018403,574
2,0.0,0.5,5,Finance,Technical,False,7.803635000018403,574
2,0.0,0.5,6,Technical,Technical,True,7.803635000018403,574
2,0.0,0.5,7,HR,HR,True,7.803635000018403,574
2,0.0,0.5,8,Finance,Finance,True,7.803635000018403,574
2,0.0,0.5,9,Technical,Technical,True,7.803635000018403,574
2,0.0,0.5,10,HR,HR,True,7.803635000018403,574
3,0.0,0.5,1,HR,Technical,False,12.739014899998438,1021
3,0.0,0.5,2,Finance,Finance,True,12.739014899998438,1021
3,0.0,0.5,3,Technical,Technical,True,12.739014899998438,1021
3,0.0,0.5,4,HR,Finance,False,12.739014899998438,1021
3,0.0,0.5,5,Finance,Finance,True,12.739014899998438,1021
3,0.0,0.5,6,Technical,Technical,True,12.739014899998438,1021
3,0.0,0.5,7,HR,HR,True,12.739014899998438,1021
3,0.0,0.5,8,Finance,Finance,True,12.739014899998438,1021
3,0.0,0.5,9,Technical,Technical,True,12.739014899998438,1021
3,0.0,0.5,10,HR,HR,True,12.739014899998438,1021
4,0.0,0.5,1,HR,Technical,False,8.76385519996984,658
4,0.0,0.5,2,Finance,Finance,True,8.76385519996984,658
4,0.0,0.5,3,Technical,Technical,True,8.76385519996984,658
4,0.0,0.5,4,HR,Finance,False,8.76385519996984,658
4,0.0,0.5,5,Finance,Finance,True,8.76385519996984,658
4,0.0,0.5,6,Technical,Technical,True,8.76385519996984,658
4,0.0,0.5,7,HR,HR,True,8.76385519996984,658
4,0.0,0.5,8,Finance,Finance,True,8.76385519996984,658
4,0.0,0.5,9,Technical,Technical,True,8.76385519996984,658
4,0.0,0.5,10,HR,HR,True,8.76385519996984,658
5,0.0,0.5,1,HR,Technical,False,10.674128799990285,865
5,0.0,0.5,2,Finance,Finance,True,10.674128799990285,865
5,0.0,0.5,3,Technical,Technical,True,10.674128799990285,865
5,0.0,0.5,4,HR,Finance,False,10.674128799990285,865
5,0.0,0.5,5,Finance,Technical,False,10.674128799990285,865
5,0.0,0.5,6,Technical,Technical,True,10.674128799990285,865
5,0.0,0.5,7,HR,HR,True,10.674128799990285,865
5,0.0,0.5,8,Finance,Finance,True,10.674128799990285,865
5,0.0,0.5,9,Technical,Technical,True,10.674128799990285,865
5,0.0,0.5,10,HR,HR,True,10.674128799990285,865
1,0.0,0.9,1,HR,HR,True,7.83515289996285,589
1,0.0,0.9,2,Finance,Finance,True,7.83515289996285,589
1,0.0,0.9,3,Technical,Technical,True,7.83515289996285,589
1,0.0,0.9,4,HR,Finance,False,7.83515289996285,589
1,0.0,0.9,5,Finance,Finance,True,7.83515289996285,589
1,0.0,0.9,6,Technical,Technical,True,7.83515289996285,589
1,0.0,0.9,7,HR,HR,True,7.83515289996285,589
1,0.0,0.9,8,Finance,Finance,True,7.83515289996285,589
1,0.0,0.9,9,Technical,Technical,True,7.83515289996285,589
1,0.0,0.9,10,HR,HR,True,7.83515289996285,589
2,0.0,0.9,1,HR,HR,True,7.896566800016444,579
2,0.0,0.9,2,Finance,Finance,True,7.896566800016444,579
2,0.0,0.9,3,Technical,Technical,True,7.896566800016444,579
